id,formula_text,solution_text,model_text,hybrid_time,backend_only_time,is_hybrid_winner,hybrid_time_diff
1,"(a = 123456)","SAT","{
a => 123456
}",10.984,816.570,1,-805.586
2,"(not (b = a))","SAT","{
b => 1152921504606846974
a => 1152921504606846975
}",7.421,100.936,1,-93.515
3,"((not (b = a)) ^ (d = c))","SAT","{
d => 1152921504606846975
c => 1152921504606846975
b => 1152921504606846974
a => 1152921504606846975
}",6.906,126.258,1,-119.352
4,"((a = 123456) ^ (b = 123456))","SAT","{
b => 123456
a => 123456
}",5.563,93.699,1,-88.136
5,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456))","SAT","{
c => 123456
b => 123455
a => 123456
}",5.251,82.080,1,-76.829
6,"((a = 123456) ^ (b = 123456) ^ (c = 123456))","SAT","{
c => 123456
b => 123456
a => 123456
}",3.969,235.370,1,-231.401
7,"((b < a) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456))","SAT","{
e => 123456
d => 123455
c => 123455
b => 1152921504606846974
a => 1152921504606846975
}",16.761,224.016,1,-207.255
8,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456))","SAT","{
d => 123456
c => 123456
b => 123455
a => 123456
}",8.580,97.827,1,-89.247
9,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456))","SAT","{
d => 123456
c => 123455
b => 123456
a => 123456
}",6.788,83.269,1,-76.481
10,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456))","SAT","{
d => 123456
c => 123456
b => 123456
a => 123456
}",5.237,76.520,1,-71.283
11,"((not (b > a)) ^ (not (b < a)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456))","SAT","{
e => 123456
d => 123455
c => 123455
b => 1152921504606846975
a => 1152921504606846975
}",9.236,118.230,1,-108.994
12,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456))","SAT","{
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",9.925,100.192,1,-90.267
13,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456))","SAT","{
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",9.519,91.843,1,-82.324
14,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456))","SAT","{
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",8.187,82.175,1,-73.988
15,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456))","SAT","{
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",8.130,82.682,1,-74.552
16,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456))","SAT","{
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",8.139,79.821,1,-71.682
17,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456))","SAT","{
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",5.825,76.097,1,-70.272
18,"((not (b < a)) ^ (a > b) ^ (not (a < b)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456))","UNSAT","",2.981,35.097,1,-32.116
19,"((not (b < a)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123455
c => 123455
b => 1152921504606846975
a => 1152921504606846975
}",14.384,110.047,1,-95.663
20,"((not (b < a)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123455
c => 123455
b => 1152921504606846975
a => 1152921504606846975
}",13.646,133.690,1,-120.044
21,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",492.853,160.517,0,332.336
22,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",14.863,97.811,1,-82.948
23,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456))","SAT","{
f => 123456
e => 123455
d => 123456
c => 123456
b => 123455
a => 123456
}",11.651,87.975,1,-76.324
24,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",9.432,82.759,1,-73.327
25,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123455
c => 123455
b => 123456
a => 123456
}",10.916,82.623,1,-71.707
26,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456))","SAT","{
f => 123456
e => 123455
d => 123456
c => 123455
b => 123456
a => 123456
}",10.297,78.783,1,-68.486
27,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",8.455,77.613,1,-69.158
28,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",8.283,78.145,1,-69.862
